C/A,Unit,SCP,Line Name,Division,Date,Time,Description,Entries,Exits                                                     
A002,R051,02-05-00,NQR456W,BMT,01/30/2022,11:00:00,REGULAR,525151,0
A002,R051,02-05-00,NQR456W,BMT,01/30/2022,15:00:00,REGULAR,525151,0
A002,R051,02-05-00,NQR456W,BMT,01/30/2022,19:00:00,REGULAR,525151,0
A002,R051,02-05-00,NQR456W,BMT,01/30/2022,23:00:00,REGULAR,525151,0
A002,R051,02-05-01,NQR456W,BMT,01/30/2022,03:00:00,REGULAR,0,1049
A002,R051,02-05-01,NQR456W,BMT,01/30/2022,07:00:00,REGULAR,0,1049
A002,R051,02-05-01,NQR456W,BMT,01/30/2022,11:00:00,REGULAR,0,1049
A002,R051,02-05-01,NQR456W,BMT,01/30/2022,15:00:00,REGULAR,0,1050
A002,R051,02-05-01,NQR456W,BMT,01/30/2022,19:00:00,REGULAR,0,1050
A002,R051,02-05-01,NQR456W,BMT,01/30/2022,23:00:00,REGULAR,0,1050
A002,R051,02-06-00,NQR456W,BMT,01/30/2022,03:00:00,REGULAR,282593,33079
A002,R051,02-06-00,NQR456W,BMT,01/30/2022,07:00:00,REGULAR,282597,33081
A002,R051,02-06-00,NQR456W,BMT,01/30/2022,11:00:00,REGULAR,282633,33088
A002,R051,02-06-00,NQR456W,BMT,01/30/2022,15:00:00,REGULAR,282688,33096
A002,R051,02-06-00,NQR456W,BMT,01/30/2022,19:00:00,REGULAR,282766,33107
A002,R051,02-06-00,NQR456W,BMT,01/30/2022,23:00:00,REGULAR,282839,33118
A006,R079,00-00-00,NQRW,BMT,01/30/2022,01:00:00,REGULAR,4625167,7992712
A006,R079,00-00-00,NQRW,BMT,01/30/2022,05:00:00,REGULAR,4625173,7992713
A006,R079,00-00-00,NQRW,BMT,01/30/2022,09:00:00,REGULAR,4625189,7992788
A006,R079,00-00-00,NQRW,BMT,01/30/2022,13:00:00,REGULAR,4625221,7993041
A006,R079,00-00-00,NQRW,BMT,01/30/2022,17:00:00,REGULAR,4625340,7993336
A006,R079,00-00-00,NQRW,BMT,01/30/2022,21:00:00,REGULAR,4625460,7993435
A006,R079,00-00-01,NQRW,BMT,01/30/2022,01:00:00,REGULAR,5696137,3503030
A006,R079,00-00-01,NQRW,BMT,01/30/2022,05:00:00,REGULAR,5696137,3503031
A006,R079,00-00-01,NQRW,BMT,01/30/2022,09:00:00,REGULAR,5696145,3503043
A006,R079,00-00-01,NQRW,BMT,01/30/2022,13:00:00,REGULAR,5696186,3503118
A006,R079,00-00-01,NQRW,BMT,01/30/2022,17:00:00,REGULAR,5696302,3503222
A006,R079,00-00-01,NQRW,BMT,01/30/2022,21:00:00,REGULAR,5696401,3503242
A006,R079,00-00-02,NQRW,BMT,01/30/2022,01:00:00,REGULAR,6632406,16642173
A006,R079,00-00-02,NQRW,BMT,01/30/2022,05:00:00,REGULAR,6632408,16642174
A006,R079,00-00-02,NQRW,BMT,01/30/2022,09:00:00,REGULAR,6632411,16642180
A006,R079,00-00-02,NQRW,BMT,01/30/2022,13:00:00,REGULAR,6632427,16642207
A006,R079,00-00-02,NQRW,BMT,01/30/2022,17:00:00,REGULAR,6632481,16642245
A006,R079,00-00-02,NQRW,BMT,01/30/2022,21:00:00,REGULAR,6632530,16642251
A006,R079,00-00-03,NQRW,BMT,01/30/2022,01:00:00,REGULAR,3353483,1216651
A006,R079,00-00-03,NQRW,BMT,01/30/2022,05:00:00,REGULAR,3353484,1216651
A006,R079,00-00-03,NQRW,BMT,01/30/2022,09:00:00,REGULAR,3353489,1216662
A006,R079,00-00-03,NQRW,BMT,01/30/2022,13:00:00,REGULAR,3353509,1216687
A006,R079,00-00-03,NQRW,BMT,01/30/2022,17:00:00,REGULAR,3353564,1216703
A006,R079,00-00-03,NQRW,BMT,01/30/2022,21:00:00,REGULAR,3353601,1216707
A006,R079,00-00-04,NQRW,BMT,01/30/2022,01:00:00,REGULAR,146664,60874
A006,R079,00-00-04,NQRW,BMT,01/30/2022,05:00:00,REGULAR,146665,60875
A006,R079,00-00-04,NQRW,BMT,01/30/2022,09:00:00,REGULAR,146669,60884
A006,R079,00-00-04,NQRW,BMT,01/30/2022,13:00:00,REGULAR,146682,60899
A006,R079,00-00-04,NQRW,BMT,01/30/2022,17:00:00,REGULAR,146722,60918
A006,R079,00-00-04,NQRW,BMT,01/30/2022,21:00:00,REGULAR,146760,60924
A006,R079,00-03-00,NQRW,BMT,01/30/2022,01:00:00,REGULAR,152990,84153
A006,R079,00-03-00,NQRW,BMT,01/30/2022,05:00:00,REGULAR,152992,84154
A006,R079,00-03-00,NQRW,BMT,01/30/2022,09:00:00,REGULAR,152995,84162
A006,R079,00-03-00,NQRW,BMT,01/30/2022,13:00:00,REGULAR,153011,84185
A006,R079,00-03-00,NQRW,BMT,01/30/2022,17:00:00,REGULAR,153104,84252
A006,R079,00-03-00,NQRW,BMT,01/30/2022,21:00:00,REGULAR,153147,84264
A006,R079,00-03-01,NQRW,BMT,01/30/2022,01:00:00,REGULAR,838250,523760
A006,R079,00-03-01,NQRW,BMT,01/30/2022,05:00:00,REGULAR,838254,523762
A006,R079,00-03-01,NQRW,BMT,01/30/2022,09:00:00,REGULAR,838261,523786
A006,R079,00-03-01,NQRW,BMT,01/30/2022,13:00:00,REGULAR,838304,523849
